报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231,20051231
单位,元,元,元,元,元,元,元,元
货币资金,32672700416,18152599552,19151400960,15227899904,5469760000,4625990144,920470016,714352000
应收和预付,20811450368,17731319808,17622089728,13177334784,7545138176,7909904384,4057075968,1057854976
存货,189643997184,152107008000,109897998336,60098899968,40195600384,28084400128,11264799744,6120549888
流动资产合计,243127992320,187990999040,146671992832,88504197120,53211201536,40622100480,16243200000,7893709824
固定资产净值,1378429952,939801984,322944000,206215008,188660992,141180992,41511000,0
非流动资产合计,8040589824,7023179776,5656320000,1326560000,420924000,272529984,264711008,120761000
资产总计,251168997376,195015000064,152327995392,89830703104,53632200704,40894701568,16507899904,8014470144
短期借款,1348000000,2123399936,450000000,308020000,70000000,618108992,655000000,354000000
应付和预收,118883721216,88612413440,63040929792,35209854976,15556960256,16023781376,7629121536,4425781248
一年内到期的非流动负债,24323999744,11802000384,6883800064,3690599936,4244150016,2501360128,616060032,698000000
流动负债合计,140470992896,98585903104,68896702464,38233600000,19514699776,18910199808,8863290368,5598730240
非流动负债合计,55917998080,54364200960,51411001344,24635600896,18444300288,9149989888,3626230016,1213810048
负债合计,196388995072,152949997568,120307998720,62869200896,37959000064,28060200960,12489499648,6812550144
实收资本(或股本),7137990144,5948329984,4575640064,3519719936,2452339968,1226169984,550000000,400000000
资本公积,10776899584,11897199616,13279599616,14282200064,6800169984,8025589760,1887069952,19351600
盈余公积,811702016,627750016,475631008,419703008,251752000,208478000,176547008,109931000
未分配利润,23758299136,16782900224,11378700288,6866619904,4574759936,2464999936,1024339968,419503008
所有者权益(或股东权益)合计,54779498496,42064400384,32020299776,26961500160,15673100288,12834499584,4018370048,1201920000
负债和所有者权益(或股东权益)总计,251168997376,195015000064,152327995392,89830703104,53632200704,40894701568,16507899904,8014470144
