报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,元,元,元,元
一、营业总收入,1171149952,1021569984,867315008,694750016,649742976,593068992,530504992
二、营业总成本,786329984,724755968,642051008,547942016,531446016,465878016,414257984
营业成本,551328000,556390016,533076000,430400992,408222016,375030016,337654016
营业税金及附加,14381800,10912000,8198570,5465220,3740230,4127400,4065260
销售费用,113002000,70260704,59503600,51026100,67106500,45100300,33834800
管理费用,93090096,77699104,64461600,54792400,44134800,39010000,37072300
财务费用,14440300,4506710,6325290,6100890,6149340,1783330,86414.6
资产减值损失,88157.3,4988330,-29513700,155867,2093470,827024,1545310
投资收益,5167580,8620210,5698390,5768760,49715500,19963000,6140180
三、营业利润,389990016,305336000,231011008,152622000,168012992,147154000,125593000
利润总额,415259008,304870016,232318000,153194000,168331008,148192000,125762000
所得税费用,64678000,48327800,37618100,22940300,26666200,51792200,43898700
四、净利润,350580992,256542000,194700000,130254000,141664992,96400304,81863296
基本每股收益,2.49,1.82,1.39,0.93,1.01,0.68,0.572
