报表日期,20121231,20111231,20101231,20091231,20081231,20071231,20061231
单位,元,元,元,元,元,元,元
一、营业总收入,18255200256,19129300992,17116199936,27564099584,27443400704,21005500416,17096699904
二、营业总成本,19646199808,19509200896,18023899136,27012399104,25616099328,18972499968,15371799552
营业成本,17362700288,18171299840,16599000064,24582899712,23920799744,17831200768,14508600320
营业税金及附加,32504700,29275300,28123600,41173000,41233100,29189600,23362700
销售费用,49290100,59378300,59925300,68231104,72507400,40473000,35660800
管理费用,1126860032,1130889984,901713984,1601980032,1421010048,478460000,291308000
财务费用,680507008,-151426000,214930000,622222016,153868992,495984992,456000992
资产减值损失,394363008,269782016,220264000,95872800,6644320,97137600,56908200
投资收益,141092992,13049100,25482000,3643520,7668980,3271070,333311
三、营业利润,-1283330048,-333448992,-864065984,563113024,2567389952,2164160000,1709240064
利润总额,-1171190016,47764700,-847609024,764352000,2824410112,2182269952,1720800000
所得税费用,-72132600,18109700,-135092000,-14783400,251896000,170820992,102961000
四、净利润,-1099059968,29655000,-712516992,779134976,2572519936,2011449984,1617840000
基本每股收益,-0.24,0.01,-0.16,0.19,0.76,0.65,0.52
